t,loudness
0.0,-45.32075669427274
1.0,-29.21163330511459
2.0,-22.677235433892584
3.0,-22.984275747413033
4.0,-22.710389711921458
5.0,-24.414432933937075
6.0,-22.841876380520997
7.0,-23.527902467565294
8.0,-23.3708562361787
9.0,-23.666222989065762
10.0,-23.731266268520027
11.0,-22.870693270865658
12.0,-24.656936652763434
13.0,-24.115110110966455
14.0,-21.2973648890321
15.0,-13.77811874106627
16.0,-15.089009058782686
17.0,-17.2922755795145
18.0,-17.502025544682454
19.0,-14.376427306835724
20.0,-16.49244007908662
21.0,-19.282369300234453
22.0,-16.79003975850451
23.0,-20.741297475361723
24.0,-17.486998994928094
25.0,-17.57386132350817
26.0,-15.916497354647735
27.0,-20.05363979438391
28.0,-17.222243101191683
29.0,-11.566391480241464
30.0,-15.036499739610731
31.0,-16.86451812275801
32.0,-13.97741182532099
33.0,-16.14589411909629
34.0,-22.037551563834274
35.0,-16.57418947838661
36.0,-17.79234798834857
37.0,-15.602582692207893
38.0,-21.152209991658555
39.0,-15.276799416650233
40.0,-17.982945603380553
41.0,-20.90005526093432
42.0,-11.673440747760623
43.0,-14.647202650406927
44.0,-16.52856371869547
45.0,-13.785865374531697
46.0,-14.333883332876848
47.0,-13.442324469203962
48.0,-19.619470904720114
49.0,-12.613639422194932
50.0,-13.726631141772517
51.0,-13.848268026405549
52.0,-14.854426803267112
53.0,-15.29548660003057
54.0,-13.395255222084108
55.0,-12.075025636658022
56.0,-13.456926431024566
57.0,-13.28290136830994
58.0,-17.389080901140893
59.0,-14.27354895725751
60.0,-12.94955332749461
61.0,-21.199054145675913
62.0,-11.92632257542592
63.0,-12.106925342431113
64.0,-12.338713323704406
65.0,-13.501145357645667
66.0,-14.18334318901253
67.0,-13.138184405694572
68.0,-11.009875171960736
69.0,-12.332655054689944
70.0,-13.245053883924212
71.0,-12.329427417693536
72.0,-12.80264212603075
73.0,-12.329033881813093
74.0,-12.796411851456117
75.0,-12.14984624623764
76.0,-12.173074711240877
77.0,-12.271676273241653
78.0,-12.821306976755277
79.0,-11.852995049605608
80.0,-11.984122806398878
81.0,-12.964803605373245
82.0,-12.407452671229725
83.0,-12.317050086841268
84.0,-12.837907419814682
85.0,-12.278411762383817
86.0,-13.01846975751544
87.0,-12.696972912142728
88.0,-11.120958923747352
89.0,-12.382176648688045
90.0,-12.485656684036782
91.0,-12.34086865765223
92.0,-12.219141590204144
93.0,-11.746826261898521
94.0,-12.2068197648726
95.0,-11.990686355164238
96.0,-13.267806432084186
97.0,-13.865087957677062
98.0,-12.892158848441312
99.0,-13.643039417807548
100.0,-13.518966611085359
101.0,-13.097707941834184
102.0,-13.457921511772133
103.0,-13.283401604051262
104.0,-12.499760878355632
105.0,-13.925288491963181
106.0,-13.5689653192448
107.0,-11.414026692679707
108.0,-9.823175509194302
109.0,-11.65507476033904
110.0,-13.293735746215633
111.0,-13.213777323915684
112.0,-11.521655739425768
113.0,-12.231109097687622
114.0,-11.816186295340716
115.0,-11.943586337433189
116.0,-9.924848947634738
117.0,-11.764781626726867
118.0,-10.717313340347074
119.0,-12.432304390775236
120.0,-12.532401060632017
121.0,-12.2170323984318
122.0,-16.304262949922006
123.0,-12.062944929613412
124.0,-10.658925578920266
125.0,-12.255291749434047
126.0,-13.102807098425412
127.0,-13.118241873127582
128.0,-13.096383884628938
129.0,-12.928158366423576
130.0,-9.622662841989744
131.0,-10.570915043395082
132.0,-12.11157771887589
133.0,-13.020679991505371
134.0,-12.962793703955446
135.0,-12.940138520090303
136.0,-12.16827209853683
137.0,-10.680152241645501
138.0,-10.143172281711331
139.0,-8.912529890454996
140.0,-8.551148381789242
141.0,-10.470476999174599
142.0,-10.866130969467632
143.0,-11.258962635607737
144.0,-10.458576473291213
145.0,-11.064690438647686
146.0,-11.824755915294952
147.0,-12.754824200354712
148.0,-11.30686301619938
149.0,-12.46329590255086
150.0,-9.362586427935879
151.0,-10.227841483090955
152.0,-11.393414052763754
153.0,-11.111231873963158
154.0,-9.753589060255155
155.0,-11.517269176741912
156.0,-20.033132223575848
157.0,-23.500399150523997
158.0,-11.917725977687223
159.0,-8.882732849285816
160.0,-9.512684748214394
161.0,-12.984046714444707
162.0,-9.887679136893677
163.0,-9.782720604299842
164.0,-13.733856501801183
165.0,-12.378064107556446
166.0,-12.223214526306863
167.0,-10.05607643403688
168.0,-13.154708759395705
169.0,-9.958102402824663
170.0,-11.414338201189024
171.0,-13.935607531125564
172.0,-10.60049160922549
173.0,-12.868525369112094
174.0,-15.426138372563468
175.0,-12.37963108178016
176.0,-12.520711103920009
177.0,-11.299324627606177
178.0,-16.98057993730952
179.0,-10.751862694697914
180.0,-11.485532184874982
181.0,-11.189392287666697
182.0,-10.997570258736399
183.0,-12.090914270364285
184.0,-9.0104958688244
185.0,-10.95334584930027
186.0,-10.574829184082413
187.0,-10.634561531952597
188.0,-12.723766979851701
189.0,-10.992122412586106
190.0,-10.52324211792633
191.0,-11.4143953181076
192.0,-9.910293757400044
193.0,-8.932761796673923
194.0,-10.570898463989225
195.0,-10.785016477858312
196.0,-11.178480697036042
197.0,-9.79405334259723
198.0,-14.30436831237148
199.0,-12.394268273079247
200.0,-11.827103004731795
201.0,-11.309022461165885
202.0,-12.039303089344905
203.0,-11.415137655266664
204.0,-11.836447925835431
205.0,-11.079420282227877
206.0,-11.719503609283407
207.0,-11.924500009484204
208.0,-12.01415727954483
209.0,-11.010644334140268
210.0,-10.823591466335321
211.0,-11.329577368391808
212.0,-10.205101921397755
213.0,-9.597044575452268
214.0,-10.76519529810649
215.0,-11.137619814002031
216.0,-11.352404542281677
217.0,-10.715436740972054
218.0,-9.995569966570754
219.0,-10.10038727705021
220.0,-10.416786122594273
221.0,-10.301277090907353
222.0,-11.58364091490994
223.0,-12.175875153178472
224.0,-12.525707111330172
225.0,-9.990955947318566
226.0,-10.798570460353167
227.0,-12.417467474962352
228.0,-13.730053474109765
229.0,-11.776968072453785
230.0,-11.459138151466856
231.0,-12.076091737486832
232.0,-13.202423258863966
233.0,-10.836350821683093
234.0,-13.469037308805433
235.0,-13.492363834600894
236.0,-16.296952462517858
237.0,-13.09487998343823
238.0,-17.7450683027495
239.0,-36.46293427646159
240.0,-48.07604073178063
241.0,-58.729550525261686
242.0,-66.92946637062316
243.0,-70.0
244.0,-70.0
245.0,-70.0
