t,pitch_hz,pitch_midi
0.06,0.0,0
0.07,0.0,0
0.08,0.0,0
0.09,0.0,0
0.1,0.0,0
0.11,0.0,0
0.12,0.0,0
0.13,0.0,0
0.14,0.0,0
0.15,0.0,0
0.16,0.0,0
0.17,0.0,0
0.18,0.0,0
0.19,0.0,0
0.2,0.0,0
0.21,0.0,0
0.22,0.0,0
0.23,0.0,0
0.24,0.0,0
0.25,0.0,0
0.26,0.0,0
0.27,0.0,0
0.28,0.0,0
0.29,0.0,0
0.3,0.0,0
0.31,0.0,0
0.32,0.0,0
0.33,0.0,0
0.34,0.0,0
0.35,0.0,0
0.36,0.0,0
0.37,0.0,0
0.38,0.0,0
0.39,0.0,0
0.4,0.0,0
0.41,0.0,0
0.42,0.0,0
0.43,0.0,0
0.44,0.0,0
0.45,0.0,0
0.46,0.0,0
0.47,0.0,0
0.48,0.0,0
0.49,0.0,0
0.5,0.0,0
0.51,0.0,0
0.52,0.0,0
0.53,0.0,0
0.54,0.0,0
0.55,0.0,0
0.56,0.0,0
0.57,0.0,0
0.58,0.0,0
0.59,0.0,0
0.6,0.0,0
0.61,0.0,0
0.62,0.0,0
0.63,0.0,0
0.64,0.0,0
0.65,0.0,0
0.66,0.0,0
0.67,0.0,0
0.68,0.0,0
0.69,0.0,0
0.7,0.0,0
0.71,0.0,0
0.72,0.0,0
0.73,0.0,0
0.74,0.0,0
0.75,0.0,0
0.76,0.0,0
0.77,0.0,0
0.78,0.0,0
0.79,0.0,0
0.8,0.0,0
0.81,0.0,0
0.82,0.0,0
0.83,0.0,0
0.84,0.0,0
0.85,0.0,0
0.86,0.0,0
0.87,0.0,0
0.88,0.0,0
0.89,0.0,0
0.9,0.0,0
0.91,0.0,0
0.92,0.0,0
0.93,0.0,0
0.94,0.0,0
0.95,0.0,0
0.96,0.0,0
0.97,0.0,0
0.98,0.0,0
0.99,0.0,0
1.0,0.0,0
1.01,0.0,0
1.02,0.0,0
1.03,0.0,0
1.04,0.0,0
1.05,0.0,0
1.06,0.0,0
1.07,0.0,0
1.08,0.0,0
1.09,0.0,0
1.1,0.0,0
1.11,0.0,0
1.12,0.0,0
1.13,0.0,0
1.14,0.0,0
1.15,0.0,0
1.16,0.0,0
1.17,0.0,0
1.18,0.0,0
1.19,0.0,0
1.2,0.0,0
1.21,0.0,0
1.22,0.0,0
1.23,0.0,0
1.24,0.0,0
1.25,0.0,0
1.26,0.0,0
1.27,0.0,0
1.28,0.0,0
1.29,0.0,0
1.3,0.0,0
1.31,0.0,0
1.32,0.0,0
1.33,0.0,0
1.34,0.0,0
1.35,248.29405585964972,59
1.36,248.05859451256447,59
1.37,246.6384823220991,59
1.38,245.88988976264451,59
1.39,244.7739338895919,59
1.4,245.6756416304835,59
1.41,246.764878067424,59
1.42,249.15322629717653,59
1.43,249.30887252704713,59
1.44,248.0475805747493,59
1.45,248.82447733665893,59
1.46,0.0,0
1.47,0.0,0
1.48,0.0,0
1.49,257.90203422387026,60
1.5,263.8172372618043,60
1.51,271.7297719137256,61
1.52,269.0037451952695,60
1.53,264.0283274502929,60
1.54,260.59122324608484,60
1.55,259.6751494047093,60
1.56,262.44902768223403,60
1.57,268.9399984202579,60
1.58,274.7636015954466,61
1.59,276.43283578054394,61
1.6,277.0744830779676,61
1.61,273.29380931064554,61
1.62,264.6551278929378,60
1.63,260.94641491057297,60
1.64,262.3025775007206,60
1.65,263.75289359685974,60
1.66,263.47742737165873,60
1.67,259.5396671748595,60
1.68,258.25827393383605,60
1.69,258.1394347660261,60
1.7,258.1364875358728,60
1.71,0.0,0
1.72,0.0,0
1.73,0.0,0
1.74,0.0,0
1.75,0.0,0
1.76,0.0,0
1.77,0.0,0
1.78,0.0,0
1.79,0.0,0
1.8,0.0,0
1.81,247.50423918299438,59
1.82,249.77800401057672,59
1.83,251.9547552382644,59
1.84,254.91970243930774,60
1.85,253.8941885990246,59
1.86,254.07028307080125,59
1.87,254.7808047310684,60
1.88,257.7774416954579,60
1.89,260.87820387682814,60
1.9,263.4015930676163,60
1.91,264.7821840223858,60
1.92,267.52624802894326,60
1.93,276.3342299104931,61
1.94,282.9094783317445,61
1.95,284.25883620656964,61
1.96,0.0,0
1.97,0.0,0
1.98,0.0,0
1.99,0.0,0
2.0,0.0,0
2.01,0.0,0
2.02,257.29057576117805,60
2.03,258.22416905973614,60
2.04,263.0878159718336,60
2.05,264.4688121748549,60
2.06,266.2050271215099,60
2.07,270.3114555102448,61
2.08,0.0,0
2.09,0.0,0
2.1,0.0,0
2.11,0.0,0
2.12,0.0,0
2.13,0.0,0
2.14,0.0,0
2.15,0.0,0
2.16,0.0,0
2.17,0.0,0
2.18,0.0,0
2.19,0.0,0
2.2,0.0,0
2.21,0.0,0
2.22,0.0,0
2.23,0.0,0
2.24,0.0,0
2.25,266.08042935868207,60
2.26,259.6979241209886,60
2.27,258.0114625910172,60
2.28,255.35846886583627,60
2.29,248.05560226023525,59
2.3,248.35123393779622,59
2.31,248.4953448327043,59
2.32,249.278865770709,59
2.33,247.4075018285573,59
2.34,244.27329144405695,59
2.35,239.97045439353323,59
2.36,0.0,0
2.37,0.0,0
2.38,0.0,0
2.39,0.0,0
2.4,0.0,0
2.41,0.0,0
2.42,0.0,0
2.43,0.0,0
2.44,0.0,0
2.45,0.0,0
2.46,0.0,0
2.47,0.0,0
2.48,0.0,0
2.49,0.0,0
2.5,0.0,0
2.51,0.0,0
2.52,0.0,0
2.53,0.0,0
2.54,0.0,0
2.55,0.0,0
2.56,0.0,0
2.57,0.0,0
2.58,0.0,0
2.59,0.0,0
2.6,0.0,0
2.61,0.0,0
2.62,248.37792152038634,59
2.63,248.30603131427384,59
2.64,248.47574455121264,59
2.65,248.23166564897264,59
2.66,247.31802472997396,59
2.67,247.5714715150974,59
2.68,246.87545441858126,59
2.69,246.63395048717797,59
2.7,246.07030817777405,59
2.71,246.33544083057538,59
2.72,246.51905761433542,59
2.73,245.5386721353133,59
2.74,245.16785274470655,59
2.75,244.47340411370405,59
2.76,245.0483502760131,59
2.77,244.26041515300082,59
2.78,243.62976802653588,59
2.79,0.0,0
2.8,0.0,0
2.81,0.0,0
2.82,0.0,0
2.83,0.0,0
2.84,0.0,0
2.85,0.0,0
2.86,0.0,0
2.87,0.0,0
2.88,0.0,0
2.89,0.0,0
2.9,0.0,0
2.91,0.0,0
2.92,0.0,0
2.93,0.0,0
2.94,0.0,0
2.95,0.0,0
2.96,0.0,0
2.97,0.0,0
2.98,0.0,0
2.99,0.0,0
3.0,0.0,0
3.01,0.0,0
3.02,0.0,0
3.03,0.0,0
3.04,0.0,0
3.05,0.0,0
