t,tempo
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,83.0
20.0,83.0
21.0,83.0
22.0,84.0
23.0,84.0
24.0,84.0
25.0,84.0
26.0,84.0
27.0,84.0
28.0,84.0
29.0,84.0
30.0,84.0
31.0,84.0
32.0,82.0
33.0,82.0
34.0,82.0
35.0,82.0
36.0,148.0
37.0,138.0
38.0,148.0
39.0,138.0
40.0,138.0
41.0,138.0
42.0,138.0
43.0,138.0
44.0,138.0
45.0,138.0
46.0,138.0
47.0,142.0
48.0,142.0
49.0,148.0
50.0,148.0
51.0,80.0
52.0,80.0
53.0,80.0
54.0,80.0
55.0,144.0
56.0,144.0
57.0,144.0
58.0,144.0
59.0,144.0
60.0,144.0
61.0,144.0
62.0,144.0
63.0,144.0
64.0,144.0
65.0,144.0
66.0,144.0
67.0,144.0
68.0,144.0
69.0,144.0
70.0,144.0
71.0,144.0
72.0,144.0
73.0,144.0
74.0,144.0
75.0,144.0
76.0,144.0
77.0,144.0
78.0,144.0
79.0,144.0
80.0,144.0
81.0,144.0
82.0,144.0
83.0,144.0
84.0,144.0
85.0,144.0
86.0,144.0
87.0,144.0
88.0,144.0
89.0,144.0
90.0,144.0
91.0,144.0
92.0,144.0
93.0,144.0
94.0,144.0
95.0,144.0
96.0,144.0
97.0,144.0
98.0,144.0
99.0,144.0
100.0,144.0
101.0,144.0
102.0,144.0
103.0,144.0
104.0,144.0
105.0,144.0
106.0,144.0
107.0,144.0
108.0,144.0
109.0,144.0
110.0,144.0
111.0,144.0
112.0,144.0
113.0,144.0
114.0,144.0
115.0,144.0
116.0,144.0
117.0,144.0
118.0,144.0
119.0,144.0
120.0,144.0
121.0,144.0
122.0,144.0
123.0,144.0
124.0,144.0
125.0,144.0
126.0,144.0
127.0,144.0
128.0,144.0
129.0,144.0
130.0,144.0
131.0,144.0
132.0,144.0
133.0,144.0
134.0,144.0
135.0,144.0
136.0,144.0
137.0,144.0
138.0,144.0
139.0,144.0
140.0,144.0
141.0,144.0
142.0,144.0
143.0,144.0
144.0,144.0
145.0,144.0
146.0,144.0
147.0,144.0
148.0,144.0
149.0,144.0
150.0,144.0
151.0,144.0
152.0,144.0
153.0,144.0
154.0,144.0
155.0,144.0
156.0,144.0
157.0,144.0
158.0,144.0
159.0,144.0
160.0,144.0
161.0,144.0
162.0,144.0
163.0,144.0
164.0,144.0
165.0,144.0
166.0,144.0
167.0,144.0
168.0,144.0
169.0,144.0
170.0,144.0
171.0,144.0
172.0,144.0
173.0,144.0
174.0,144.0
175.0,144.0
176.0,144.0
177.0,144.0
178.0,144.0
179.0,144.0
180.0,144.0
181.0,144.0
182.0,144.0
183.0,144.0
184.0,144.0
185.0,144.0
186.0,144.0
187.0,144.0
188.0,144.0
189.0,144.0
190.0,144.0
191.0,144.0
192.0,144.0
193.0,144.0
194.0,144.0
195.0,144.0
196.0,144.0
197.0,144.0
198.0,144.0
199.0,144.0
200.0,144.0
201.0,144.0
202.0,144.0
203.0,144.0
204.0,144.0
205.0,144.0
206.0,144.0
207.0,144.0
208.0,144.0
209.0,144.0
210.0,144.0
211.0,144.0
212.0,144.0
213.0,144.0
214.0,144.0
215.0,144.0
216.0,144.0
217.0,144.0
218.0,144.0
219.0,144.0
220.0,144.0
221.0,144.0
222.0,144.0
223.0,144.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0
235.0,0.0
236.0,0.0
237.0,0.0
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
