t,loudness
0.0,-70.0
1.0,-21.24347916556169
2.0,-28.258773348281434
3.0,-22.392634824913483
4.0,-24.97628498223099
5.0,-23.497263535148324
6.0,-24.135817756902853
7.0,-21.708197999404405
8.0,-23.591653158140147
9.0,-23.962189352181166
10.0,-13.280045328262743
11.0,-12.912060211114586
12.0,-11.662902756221824
13.0,-13.0555543595349
14.0,-17.93284749085573
15.0,-14.093622369924535
16.0,-10.868787404040738
17.0,-15.116521757196326
18.0,-19.409700500052356
19.0,-11.525143855767663
20.0,-11.080580286473245
21.0,-10.785766441398527
22.0,-12.841683925481808
23.0,-13.862119786869153
24.0,-12.91678841991306
25.0,-11.458812701190812
26.0,-13.655777676428078
27.0,-18.131409991961945
28.0,-11.818529712456494
29.0,-12.293199524408665
30.0,-11.420532088916735
31.0,-12.115281300341438
32.0,-10.767926121064505
33.0,-9.326653350685161
34.0,-9.278223443191617
35.0,-10.566252646403324
36.0,-12.901819221729244
37.0,-10.347554984454367
38.0,-13.132608755873715
39.0,-11.53143394391417
40.0,-11.457654075307348
41.0,-11.281527201053187
42.0,-9.69257451375406
43.0,-9.719847492632477
44.0,-10.287919328046868
45.0,-11.822258113753543
46.0,-10.421784876120027
47.0,-11.33109703602832
48.0,-12.475475432613512
49.0,-11.960757376008798
50.0,-13.698246568399654
51.0,-12.434489607967489
52.0,-11.153357875439912
53.0,-12.059291801581372
54.0,-10.55932377789584
55.0,-10.44981920867581
56.0,-10.076256312703695
57.0,-12.91813673313576
58.0,-11.681715824653315
59.0,-13.319045027895234
60.0,-11.908335777917868
61.0,-13.548127314298576
62.0,-13.42045276219705
63.0,-12.294969421479111
64.0,-12.130357360870448
65.0,-13.070094415024235
66.0,-12.946066305826792
67.0,-12.44718137089326
68.0,-11.160123221015144
69.0,-11.70027141250044
70.0,-12.342445155715353
71.0,-12.926428501940402
72.0,-11.975517888220677
73.0,-11.495892411893637
74.0,-11.76282142074197
75.0,-12.809400745228968
76.0,-12.115513192523883
77.0,-11.056032693845395
78.0,-11.318430197274157
79.0,-12.206451846389161
80.0,-14.72840199832068
81.0,-42.925548055819384
82.0,-24.50858246507221
83.0,-14.171910733220244
84.0,-11.26961738955814
85.0,-14.520257323302966
86.0,-10.00579969965469
87.0,-12.278924732786857
88.0,-9.954439273672705
89.0,-16.748338211135877
90.0,-17.458956149452444
91.0,-15.460505731598506
92.0,-13.1301678199903
93.0,-10.868354942866668
94.0,-13.671442581450767
95.0,-13.101521332946792
96.0,-12.430901824083827
97.0,-11.393688737795616
98.0,-16.61745377507096
99.0,-17.44547881407149
100.0,-16.392934059126777
101.0,-22.757475480696748
102.0,-16.752513692851632
103.0,-13.227369322493017
104.0,-11.882249841869859
105.0,-10.799919210164697
106.0,-12.373364871790994
107.0,-12.580257293068032
108.0,-14.537074223617166
109.0,-12.543530603233224
110.0,-13.11282459949385
111.0,-10.142414756581426
112.0,-11.37691775522343
113.0,-10.627132817131056
114.0,-11.15074277794822
115.0,-10.382752539762295
116.0,-11.24251571984737
117.0,-12.190533286240194
118.0,-11.421393512817374
119.0,-11.053516784976749
120.0,-10.798479227817928
121.0,-10.515892402746749
122.0,-9.065576080438229
123.0,-9.47651386936259
124.0,-10.142281225619216
125.0,-11.354149181156535
126.0,-11.682696309751721
127.0,-10.850864921608835
128.0,-11.393419524279329
129.0,-14.199169337203417
130.0,-12.706445769922018
131.0,-14.83401920096802
132.0,-14.63723165274317
133.0,-12.7054927234061
134.0,-16.494466003834653
135.0,-13.291365466874515
136.0,-17.005242766893776
137.0,-12.894047094583714
138.0,-14.437248227821676
139.0,-12.749740789255537
140.0,-13.66632758942987
141.0,-14.264722170703722
142.0,-16.203762161848154
143.0,-17.3356046390602
144.0,-13.198214726499726
145.0,-13.461976626853309
146.0,-16.058917221177715
147.0,-12.385510689731456
148.0,-13.08218345927386
149.0,-10.553100181985293
150.0,-12.582345370842445
151.0,-11.454845501866044
152.0,-13.424403040660401
153.0,-11.815879039881418
154.0,-11.578709124017855
155.0,-12.284409239825065
156.0,-10.922832247048865
157.0,-11.09312938796228
158.0,-10.542770870282325
159.0,-11.853679545584738
160.0,-10.711935471941313
161.0,-12.44386799168439
162.0,-11.515618411436058
163.0,-10.37877069240289
164.0,-11.402021963805213
165.0,-9.87275711422364
166.0,-9.53255227676104
167.0,-9.81999035441959
168.0,-11.178635886292565
169.0,-11.070597195215642
170.0,-12.156850436290462
171.0,-11.954182605955387
172.0,-10.967416713476734
173.0,-11.896876235864099
174.0,-13.398752196430424
175.0,-12.369372656665112
176.0,-13.196822430024515
177.0,-12.528061444940965
178.0,-12.578401722968064
179.0,-12.127690066908768
180.0,-12.101584806077648
181.0,-11.983460792495148
182.0,-13.347951674949027
183.0,-11.743890101136769
184.0,-11.161963226890476
185.0,-12.193989087142324
186.0,-12.007368175159415
187.0,-12.097589412150233
188.0,-11.099590462242034
189.0,-11.863579602147524
190.0,-12.035407761407392
191.0,-13.374218029314376
192.0,-11.701512192128364
193.0,-11.45756501750432
194.0,-17.048349176589277
195.0,-12.638822679827332
196.0,-14.341075664421824
197.0,-11.008349721740865
198.0,-11.822689149691094
199.0,-11.35333824192787
200.0,-11.362098991659757
201.0,-11.625184945981925
202.0,-11.594373276656635
203.0,-16.151628545369864
204.0,-11.502350598376317
205.0,-15.174975922223188
206.0,-9.823351940936105
207.0,-12.11181032259361
208.0,-11.76774936843582
209.0,-13.817788715074066
210.0,-13.7248888607887
211.0,-11.158442010453266
212.0,-12.129308647210294
213.0,-11.837688793222982
214.0,-13.609852966458995
215.0,-12.773415334851856
216.0,-12.714365866389043
217.0,-13.078196051264213
218.0,-10.531281787282715
219.0,-11.782546989085093
220.0,-10.886841744666704
221.0,-11.38036689450472
222.0,-10.339363227585396
223.0,-11.803612114471175
224.0,-11.645944025906974
225.0,-10.938014248526333
226.0,-10.884007209029015
227.0,-9.711667725733612
228.0,-10.20410318132091
229.0,-10.2670924261962
230.0,-11.28392791218675
231.0,-10.324038064265334
232.0,-11.44578326773974
233.0,-11.781948261799872
234.0,-10.778204347322506
235.0,-11.890513777364278
236.0,-17.570426065426346
237.0,-28.925882052616284
238.0,-40.09874281124241
239.0,-68.20722660692084
240.0,-70.0
